内容总时长:2小时34分钟[00:05 - 00:06] 喂喂喂。
[32:26 - 33:22] 对，集中去讲一个新的故事啊，集中去讲新的故事。你看你看那个 AI 也是啊，我觉得我觉得美股 AI 也是，就是你重新讲半导体的故事，因为半导体驱动的 AI 嘛，我觉得是一个逻辑的，就是对，其他的都不讲，什么 sars 已经崩过了，对吧？对，然后爱 gv 前几天我看爱 gv 那个就是软件 etf 就是。美股的软件 ETF 然后有几个 b 圈的朋友在破口大骂说 igv 你们就不能把 mstr 给清除掉吗？因为 mstr 是那个，它本身也也划划在这个软件股这个指 etf。里面，但实际上他是做杠杆 BTC 的，然后 BTC 不是大跌嘛，然后带着那个 igv 跌了不少，然后 b 圈的哥们来来炒美股都受不了了，说能不能能不能把这个 mstr 从这个从这个从这个 igv 里边清除掉，想让这个指数把它剔除掉。我我我，我觉得就很抽象啊，对，整体就很抽象。

[33:22 - 33:46] 而且兄弟们有一个，我跟你说，我是看到，就是说现在网上就是大家有一个就是就是就是新股民有一个比较点的一个发言，就是说只要下跌啊，跌破位，我走不就完了吗？对不对？我我跑了不就完了吗？我我有百，对，我有80%的利润垫着的，我怕啥呢？我他妈的我什么都不怕，大不了趋势走破了，走熊了，我跑了就完了呗。

[33:47 - 34:26] 很多人都这么说的，那。那我想问一下，就是就是二父亲想到了曾经的自己。对呀，就是一四年的时候，大家都是这么想的呀，一四年的时候我我翻了八倍，我资产，我怎么没跑掉呢？兄弟们，我的利润没有你厚吗？那个时候那么多人都是这么说的呀，我也见过呀。2014年的时候，大家都这么说的，每个人基本上收益都是好多人的收益基本上都在81百左右，大家都是这么说的。哎呀，趋势走破了，五日线跌破了，二十日线跌破了，趋势走坏了，清仓呗，大不了就回吐个20%多。

[34:26 - 35:11] 我告诉你啊，首先你你你相信了科技的故事，你就你根本就看不出来什么是趋势反转，因为你已经头脑里面已经相信了科技的上涨。当它下跌的时候，每一次你都觉得要补仓加仓，你都觉得首先每一次的下跌回调的时候，比如说你就想的是，我操，这不是给我机会吗？补，然后又下，你当时第一天想想的就是补，哎呀，科技不会套我的，哎呀，我都之前我都是这么赚的钱，我都是通过这种方法赚了好多钱了，我要低吸高卖。然后在这个下降的趋。当中你还没反应过来的时候，你就在里面疯狂的补。等你反应过来的时候，你你的利润就已经几乎没了。50的利润算啥呀？三个跌停板就没了。

[35:11 - 35:19] 还别说，如果说真的全面下杀的话，全部给你打在跌停板上，你跑得过量化吗？你跑得过谁呀？你。

[35:19 - 36:09] 啊，真的不是这样的，兄弟们，就是任任何的止盈跟控制回撤，一定不在下跌的趋势当中，一定是在最疯狂，大家都在喊涨喊打喊杀的时候，卖在人声鼎沸时的时候，你才真的买卖得掉。当趋势真的开始下跌的时候，你跑得掉吗？你。而且你怎么知道，就是说哪一次的下跌是真的就开始走破位了呢？然后万一这一次你下跌，你补了仓，它又涨回去了呢？在逐渐的这个狼来了的故事当中，你就逐渐相信科技不会套人，科技就会永恒的上涨，下跌你就不下跌，你就补。等你反应过来的时候，你补的那些仓，两三个跌停板，你利润就没了。所以说不是大家想的这样，就是说我看懂的趋势，我只要明白哪一次不行了，我直接跑了就行了。

[36:09 - 36:39] 没有这么简单，兄弟们真的，我们我们先不说，就是每一次的剧本肯定有不同，历史肯定不是简单的重复，但是历史也有惊人的相似之处啊。那2014年互联网炒互联网的时候，这个跟现在很多人就是进来的时候，跟很多人现在的嘴脸是一模一样的。没有什么变化，别觉得现在的股民就聪明很多。然后那个信息信息差抹平过后，大家好像就就在股市当中就就股神就多了。

[36:39 - 36:42] 就聪明很多。信息差抹平之后更恐怖了。

[36:43 - 36:45] 没聪明多少，兄弟们真的。

[36:47 - 36:51] 信息差抹平之后，大家进的更快，更抱团。

[36:51 - 36:52] 笑死。

[36:54 - 37:07] 然后现在，我我我我我想提出一个事，我想看看直播间有多少人有这个想法。啊，就是没，现在没有任何一个人，全网只有我还抱有高低切的期待吗？

[37:09 - 37:16] 高低什么高低啥意思？他的他高低切就是意思就是说科技的资金高位流向老的低位。

[37:16 - 38:01] 不是是这样的啊，是这样的，因为因为因为只有我就是只有我只有我在密切的关注那些老灯股，比如说像这个，其实主要就是有色和化工。然后他不是说一两天的反抽趋势，他其实过去的两到三周内已经跌不下去了。嗯，尤其是大家可以看一下化工板块，就是基本上已经悄摸摸的反弹，大概10%到15%了。就没有没有任何一个人信高低切嘛，因为第二季度的中报马上到了，而且海峡开了以后，对这些行业其实好好很好的这个趋势。所以。我好像觉得没没有没有人。这个没有人信，确实没有人信。

[38:02 - 38:16] 老蒋，你你你玩，我觉得你玩这个二级，你得先克服一个东西，就是你你得克服这个自己独创一个门派，不不要不要搞这种，不然很危险。

[38:17 - 38:34] 不是，那我，但是你看你看看化工，你看看化工。就是就是他的他的，其实我不唱反调，因为他的趋势真真的勾上来了，我感觉不像，就是哪个反抽会反抽比较长的时间，而且比较稳的反抽呢。

[38:34 - 38:38] 这化工现在的逻辑走的其实也是半导体逻辑。

[38:40 - 38:45] 确实，所以这个是比较令人迷惑的一点，就是它里面化工里面涨的可能是跟半导体相关的。

[38:45 - 38:56] 对啊，化工我之前给大家说了的，就是化工，在舰长直播我当时，我甚至还支持了你的有色的。我甚至还在舰长直播说有色已经筑底了，我说我看我看出来已经筑底了。

[38:56 - 39:02] 这这个有点像什么电子元器件里面缺缺少钼。某一某一部分这个关键材料之类的。

[39:03 - 39:09] 还是卡脖子那个逻辑。对，但有色就咱不说小金属啊，有色其实往上也也开始了。

[39:09 - 39:28] 啊，对啊，有色我之前这个舰长直播我说了，我说有色板块我个人感觉是筑底了，然后化工板块让大家是，然后我给了一个方向嘛，当时在舰长直播，我在化工给了一个方向，让大家去看看那个方向。那个方向呃最近虽然也涨，但是没有想象当中涨那么好。因为小金属板块，所以，长得太好了。

[39:29 - 39:34] 没有人信，但是这个趋势已经形成，会不会恰好是我的机会呢？你们要不要打醒我一下？

[39:35 - 39:39] 我觉得值得，我觉得我觉得是可以重仓猛干。

[39:39 - 40:09] 对吧？我觉得说了，哎呀，妈的，我其实我我特，我我们是不是太太落后太保守了？我们现在这样子，就是在这种情况下，我们还在那提示风险，看空。就是反而是那个给了，就是科技的有一些评论者，他们就会觉得你看还有人在看空，说明科技还要涨，因为。并没有这个分歧转移制，还是有很多分歧，我们要不就干脆就拼了，我们也疯狂差不多算了，我看好妈的，这周冲到4500点。

[40:10 - 40:19] 不是你你就这么说，饭总，你现在是完全没有勇气。我我真没，我发现我已经我已经看我已经完全看明白你了。

[40:20 - 40:22] 饭总我我觉得很就简单不不是冲。

[40:22 - 40:39] 宝就得了嗯冲宝你听我啊，就就饭总这个人就是百分之十的时候，他会想劝大家留一下，百分之二十他已经准备好提着裤子就是。就猛跑，百分之二十五他必定出一半，就这个人就没有百分之二十五不出的时候。

[40:40 - 40:43] 不是糟了，会议时长不足十分钟了。

[40:44 - 40:47] 哇，我有我有会员赠送专业版。

[40:47 - 40:51] 不是，你有会员你就弄啊，我他妈我还要钱补仓呢。

[40:52 - 40:53] 转一下，转转给老蒋呗。

[40:53 - 40:54] 转给老蒋。哦哦。

[40:54 - 40:58] 怎么转？你不能赠送啊，我是不是能赠送你些免费时长？

[40:58 - 40:59] 哦，不知道，我我能转吗？

[41:00 - 41:06] 我这让我赠送你会员，我赠送不了。那个，不是，你把你把那个你把那个主持人，三个人。

[41:06 - 41:08] 我我主持人怎么给你啊？

[41:08 - 41:10] 主持人主持人怎么给你？三个人掏不出20块钱。

[41:11 - 41:13] 你点你你点开成员呀。

[41:13 - 41:18] 你哦，我看我给你了给你了，我给你了，主持人给你了。 ok。

[41:18 - 41:24] 没显示了吧？哎，怎么还有声音时长啊，等会啊。我给你了，伟姐，真的垮，你是真的垮。

[41:25 - 41:32] 我要补仓啊我我这个我我在股市里面我亏的亏麻了呀我这边二十块钱我拿不出来了已经。

[41:34 - 41:37] 那我先结束一下我再看好不好嗯因为我是有那个会员。

[41:37 - 41:47] 的可以可以可以可以好好好好好好好好好嗯。爱一丝洒脱。

[41:53 - 42:13] 三三大股神凑不出二十块钱还在那。望亿几百亿的生意还在还在妄论，妈的，三个人加起来掏不出20块钱，还在妈望亿望亿4万亿的市场还在。不是，老蒋，我突然想起一件事情。

[42:13 - 42:14] 那不是三河大神嘛。

[42:14 - 42:58] 对吧？聪宝之前其实是救了我们的，聪宝其实之前其实是给了我们信息的，我们两个他妈太太愚钝了。聪宝之前在就是五五月，好像我看了一下，是五月22号还是21号，聪宝在群里面甩了甩了一个，他不是说做了一个，就是呃他们就是量化，也顺便分析了一下，就是说 a 股的市场的有一些票呢。然后然后他，然后我们还点开看了一下，然后点开的排行第一的那个票，截止到如果当天我们在第二天进那只票，到现在它已经涨到45%了哦，已经接近呃啊，40了，涨40%了。不是，你怎么卡了呀，你。

[42:59 - 42:59] 假的。

[43:00 - 43:01] 不是老蒋不行了。

[43:02 - 43:03] 老蒋你怎么卡了呀？

[43:03 - 43:04] 你卡了，你卡了。

[43:06 - 43:13] 现在卡了吗？不是，你别急，我知道你现在很急，就是没赚到这笔钱，但你别急，你急卡了都。

[43:14 - 43:15] 你怎么知道我卡了？

[43:16 - 43:17] 我也我也听出来。

[43:17 - 43:34] 我们都听出来你卡了，你的你急的都急卡了，都已经。现在呢，急急败坏。现在呢，现在好了现在好了。不是哪个票子啊？哎呀，mlcc呀，mlcc。

[43:35 - 43:35] 哦。

[43:37 - 43:59] 45%啊，45%。从当天你如果买进的话，就是当天那个，如果冲宝给我们说，说完我们第二天进，他在他在就是这一次行情当中，就是在，就是别说前面他还涨了两个板，他就在上周一到现在就已经是两个板，然后加加加。加将近8的一个一个一个一个提升了，然后今天回撤了一点。

[44:01 - 44:04] 不是，那你再给啊，聪宝，我直接转投你。

[44:05 - 44:08] 我不是给过你们了吗？五月五月二十五吧，应该是。

[44:08 - 44:09] 对，二十几号的时候我记得。

[44:10 - 44:11] 9.28.[44:11 - 44:50] 其实当时我去研究过的，当时当时聪宝那个弄了过后，我是真的去研究那只票的。但是那只票我当时就是后来我托人问了一下，他确实有一些就是他的订单，还有就他的一些就是业务，没有大家说的那么悬。就是我总感觉我我就害怕半年报出来过后他要爆雷，所以我没进。后来的时候结果更恐怖的是，他真的自己披露了，他自己就是披露了风险，说自己有很多业务没有大家想的那么那样，有很多就是说没有大家说的相关概念，也没有做很多订单，结果说了没用，我他妈第二天还是涨。我操，那就真没我真没我真没招了。

[44:50 - 45:09] 我操，不不是那个我饭总，我看了一下，好像我当时说的时候，我看一下啊，我当时说的是我当时说的时候，我当时说的时。最后应该是42。啊，对啊，对啊，42，40多，现在现在是77 17 12.9吧。

[45:10 - 45:15] 不是，这不比你大姐强啊啊，不也不是，我尊重大姐啊，大姐还是好吃的一笔。

[45:16 - 45:27] 你你是不是不尊重大姐，我把票不分享给你了。啊，尊重尊重尊重。你不尊重大姐啊，大姐的票没输过，唯一的希望了。尊重，我操大姐给的票没输过。

[45:27 - 45:31] 老蒋你天天连大姐都不尊重啊。确实确实，我操。

[45:31 - 45:35] 你立应致婚了。对你真的有点，你有点，你现在你真的有点飘了。

[45:36 - 45:43] 妈大姐票没输过，飘了飘了飘了，大姐是真的神。大哥有点垮了，大姐是神的。

[45:44 - 45:49] 大大姐上次大姐给的就是这只呃30的票，你他妈。我操。

[45:49 - 45:53] 你我我我看了一下，我看了一下，我跟你们说那个，你们不要再进了。

[45:53 - 46:22] 我这边我肯定不进了，不不不，肯定要进了，我看他好像要走了，肯定不进了啊。对的，对的，弹幕说的是对。弹幕说的是对的，没错，就是风华高科，对对对，但不要不要进了哈，给你们说这个，就是大家也不要进了，就是就是说一下这个事情，就是风华叉叉，没错。冲宝当时给的那个就是只能说明冲宝的这个量化呀，是真的，美国量化是真的牛，有东西，真的有东西，我们真的太垮了，我们两个妈的。可以说是妈的，a 股股小将。

[46:23 - 46:33] 哈哈哈。但我我个人认为咱们现在和冲宝已经在不同的维度上竞争了，很难说谁高谁低。因为我们现在没有分析，我们现在纯神秘代码。本质上是我不。

[46:33 - 46:49] 我现在是鼓小将了，我现在不是 b 小将，我现在是鼓小将。你就往里冲是吧？不是，我现在就是不管了，你妈叽里咕噜的说啥呢？给给大夫说了，我要把鼓小将了变成。

[46:50 - 47:03] 所以咱们俩说的相互的约定是不是有点小丑？冲宝，我们我们俩我们俩约定说再回调到3900的时候，我们将互相鼓劲。直接全仓进去，咬牙进去，谁也不要后退。

[47:04 - 47:04] 说了。

[47:06 - 47:07] 就就不管进什么。

[47:07 - 47:08] 进科技了。

[47:08 - 47:14] 进科技了，但结果根本就没有3,900的机会。哦，直接踏空。

[47:15 - 47:19] 那那不很正常吗？就是我觉得踏空是人生常态啊，对不对？

[47:20 - 47:22] 但关键是有很多亏损的情况下踏空。

[47:22 - 47:26] 哎，那那你不能这样说，就是你看 space x 套了多少人？

[47:26 - 47:29] 很多人space space就今天崩了是吧？

[47:29 - 47:34] 对，今天崩了。我我上周我上周刚给他们说，我说可以买put。

[47:35 - 47:37] 哦，你你你买了吗？

[47:37 - 47:40] 你跑了，我买了，我在我在我现在30%多利润。

[47:40 - 47:43] 我看一看呢，我操，我没看，我操，崩了吗？

[47:43 - 47:46] 今今天好像崩了，我操，还真崩了。

[47:46 - 47:49] 今天纳指也跳水了哦，纳指也跳水了，我操。

[47:51 - 47:53] 那明天大A怎么说？

[47:53 - 48:21] 大A如果明天还是独立行情，我跟你说，这一波我不敢再看空了，我直接就是我。就算不进，我也会成为坚决的科技唱多派。我把他冲，我说把5000点，妈的，我说朝5000点给我冲，对吧？如果明天明天又是一根中阳的话，我他妈真真不唱空，真真真不公开不公开自己的意见了，我哪怕不进，我也要妈公然的跟科技站在一起，跟着大家一起呐喊了，冲冲冲冲冲！哈哈。

[48:21 - 48:24] 但明天我真不信了，明天我不信，我我说死不信。

[48:24 - 49:15] 我我正好我正好说一下这个 switch x 的逻辑，就是 ok ok ok，就为啥呢？它因为它是一百一十倍 ps，就它上市之后是一百一十倍 ps。然后英伟达是25个，然后其他的那个 Mac7其他的这个大规模的也就是个也就是个10 10多，10 10对，10左右。嗯，所以也就是说它比 Mac7其他的多了10倍的 PS 嗯，啊，就市场给它这个预估的这个，给它多了10倍的 PS 就啥是 PS 就是市市值跟这个营收的关系啊，处理一下。啊，对，市销率市销率，然后就就 PS 嘛，然后呃他还高英伟达5倍，就是，所以也就是说你拿这个折折算一下，他是他是怎么抬上去的？呃，跟那个质朴的逻辑一模一样。

[49:15 - 49:19] 哈哈哈，你，110在大 a 只能算萌新，哈哈哈。

[49:21 - 50:09] 他他禁止他禁止那个什么，他禁止那个抛售，就是你如果参加 IPO 打到这个 space x 了，30天内是不能卖的。你卖了之后，以后就是 pre IPO 这个东西，ipo 这个东西就不准你参加了。啊，这是这是 space x 跟这个呃承销商谈的条件，然后承销呗，等于对，然后承销商去给去给那个什么说的。承销商去强迫所有券商就服从他们的，不然就不给你票了，你就打不到了。但是这个票热度又很高，所以你如果能打上一百五十多，一百一百三十五吧，然后打上也就是一百六十多吧，就算打不上，打上其实也没啥，一开盘因为。开盘就是160多啊，然后就就就那个价格你进是能大仓位进的，然后到200的时候就就卖掉，就就完事了，这个这个就可以等它继续跌了。

[50:10 - 50:38] 然后然后我们我们在分析是它会像circle一样，就是那个CCRCL那一样，就是先先冲高之后，然后再再回调一下，然后再冲高，然后再下来是个m顶，还是说是一步到位直接往下下。就大家都没想到会直接一步往下下，我自己我也是觉得可能会先走个 m 顶，再再来一波情绪，然后没想到现在就直接一百六十五了，太太夸张了这个东西。对对对啊，就是那你按照 PS 折嘛，你折一下。

[50:38 - 50:40] 我觉得也就值个四五十。

[50:40 - 50:44] 值对，折一下80块吧，最起码先先砸到80吧。

[50:44 - 50:47] 我觉得也就值四五十，不不知道不知道。

[50:47 - 50:57] 这个就就不好说了，就真的硬保，而且那个市场好像传出风声说这个。呃，未来想跟特斯拉合并，就是所以有人在在卖了X之后。

[50:57 - 51:03] 哎，这个我这这个这个不是空穴来风，确实有很多机构都在说未来想与特斯拉合并。

[51:03 - 51:10] 对，但我觉得这个透露出来的就是马斯克有点急。那马斯克这波吃相有点急。

[51:10 - 51:25] 他他其实他其实无所谓，因为他在 space X 占了非常大的股份，然后是啊，他一个涨他一个一涨涨跌几块钱，就就是一个巴菲特的身价嘛，所以所以他无所谓的。对，啊，对他来说无非是更有钱跟跟跟。

[51:25 - 51:30] 对吧？那老蒋，我就要问你了，那我问你。妈爸队急不急？

[51:31 - 51:41] 不是，首先我想问啊，就是咱们这有没有可能搞这种不许抛售的东西，直接保长新呢？听上去好像是能保。

[51:42 - 51:57] 你你是你是买，你是抢啊，咱们这也是疯抢，跟那边一样，就额度是疯抢的，就只是说只是说这个股到底有多硬。就比如说你是 SpaceX 你也可以这个命令这个承销商，想承销你必须得遵照你的条件来。

[51:57 - 52:02] 只要科技不崩，长鑫不比 SpaceX。Space 叉硬一点吗？

[52:02 - 52:03] 我我不知道啊。

[52:03 - 52:08] 我长兴我我不，长兴肯定是硬啊，长兴是绝对硬，我的妈呀。

[52:08 - 52:10] 我我们我们一般，不一定比 space 叉差。

[52:10 - 52:42] 对，我跟你说。长兴是真的硬，我操，长兴是真的硬，这是这是实打实有业绩的，这可不是妈的，这可不是现在他妈市面上这些他妈的，什么这上游材料又在炒啦，那六氟化钨又在产啦，半导体靶材又在炒啦，那。然后这个这个呃这个什么，那个 ppe 数值又在炒啦，电子布又在炒啦，大硅片又在炒啦，硫磺光纤光缆这些材，这可真不是长兴，可真不是呀，长兴。

[52:42 - 53:02] 所以饭总，所以饭总，我觉得我确实觉得科技这一轮不会这么快结束，因为。二季报其实会很好看，就是它不好看的往下下滑，包括资本资本开支往下滑，可能是三季报或者四季报的事，二季报不会难看的。这几个龙头嗯。

[53:02 - 53:10] 反正反正我觉得我们唯一的翻盘点就是掉不下来，就是打新的老蒋，我们感觉我们唯一的在这一波怎么打成这样了。

[53:11 - 53:13] 怎么又成打新的呀？

[53:13 - 53:19] 我觉得我们已经翻不了牌了，我们我们的我们的我们的买点已经已经出不现了，我感觉。

[53:19 - 53:22] 要不要要不要跟我一块去吃西餐呢？

[53:23 - 53:46] 我操，对呀，可以吃西餐。我操，但是我是，但是去吃西餐就说明自己输给大a了。我操，我我真有点不想认，实在有点难受。对我有点不想认输呀，我操，我在大a这么多年，我败给结构牛了。我操，我在他妈熊市当中都在赚钱。我他妈败给节奏牛了。

[53:46 - 53:50] 我的高低切梦想没有完全破灭呢，我至少得等到破灭了。

[53:52 - 53:57] 哎，我真的，我老贾老贾，真不能接受，我操，老子在熊市里面都要挣钱，老贾老贾。

[53:57 - 54:04] 我最多的时候差。差不多到了-40，现在又拉回到差不多-30.[54:04 - 54:10] 其实回来点。哦，那那还没事，就等-50的时候，你可能就是另一种感觉了。

[54:10 - 54:13] 啊，确实确实，我觉得腰斩是一个是一个心理关口。

[54:14 - 54:20] 对，我我觉得我觉得就是这样的，就是，对吧？我我之前还说过，就是我觉得你可能要先腰斩一次才能觉醒。

[54:20 - 54:24] 尤其是到-30再腰斩，那是非常难受，肯定。

[54:24 - 54:26] 对，是的。嗯。

[54:26 - 54:37] 但是我但是我说实话哈，就是，哎呦，老蒋，我我们我觉得你你在这说的好像很那个一样，长兴你打不打心吗？哎呀，有本事你别打。

[54:37 - 54:44] 我肯定打呀，我必打。所以他不可能第一天跳水吧，这个没有人会这么认为吧？

[54:44 - 55:09] 绝不可能跳水，我操！绝不可能啊！我操，长兴第一天都跳水了，妈科技就他妈那科技都他妈崩了都。那长行都能跳的呀，现在抱这么现在科技抱这么紧，包括这么拉，说不定都都包括就是把场。这么热，是不是有可能他还在给长兴腾空间？我操，他这个怎么可能长兴他妈上市直接到第一天跳水了，我日我他妈的。

[55:09 - 55:13] 我真不信，所以我必然跑步入场啊，肯定的呀。

[55:14 - 55:20] 我们这一波如果长心打中了的话，我操，我不玩了，我直接这波吃完，我走了，不玩了。

[55:20 - 55:22] 打中也打不中多少吧。

[55:22 - 55:29] 打不中多少也能也能也能吃一匹菜，也能吃一波，也能猛吃一波，吃一波真真不玩了，我操，玩不明白了，我操，有点。

[55:30 - 55:41] 而且凭质朴都能长到这个劲，张兴吃到一波翻倍，我觉得是有机会的，至少是有机会的。比如到三四万亿有机会。

[55:43 - 55:48] 哎呀但是你说就是哎呀但是我有我有自己的二次元美少女E T F 持股。

[55:48 - 55:51] 我操你那到底是啥呀你发过来看看你发。

[55:51 - 55:54] 到群里哦哦哦 K.[55:54 - 55:58] 什么是什么二二什么东西是咱们上回说的E V A机机器人。

[55:58 - 56:17] 吗不不不不不不是是。我我把我把这些股，因为害怕有些地址，你他要去找这些股，找了过后他要盲目的进进了，就是进了，到时候他又要来说，所以说我把它就是进行了动画化的处理。我我在群里面给大家发一下哈，在群里面给你发一下我的我的二次元美少女ETF.[56:17 - 56:18] 二次元ETF.[56:18 - 56:21] 二次元美少女ETF，不要把美少女妈的。

[56:22 - 56:22] 有点烫。

[56:24 - 56:38] 有点烫。哎啊，OK OK 啊，首先是好女人啊，呃，其实啊。嗯，啊，OK然后是坏女人啊。

[56:40 - 56:44] 哦哦，坏女人是谁呢？

[56:44 - 56:45] 好女人就是指。

[56:45 - 56:48] 你赚过钱的就是好女人是吧？一直在。

[56:48 - 57:26] 挣钱叫好女人，就一直是她在给你拿钱。他就好，你在坏女人，就是你在给他拿钱，就你一直在给他拿钱，然后有这个，然后就有这个。有这个傲娇杂鱼怪啊，就是这个傲娇杂鱼美少女。啊，然后是这个啊，他就是时不时的，就是经常在说你是杂鱼，但是时不时会让你尝点甜头，但是大多数情况下就是就是没把你当回事啊。然后啊还没完还没完，还有我的青梅竹马啊，还有我的青梅竹马啊。

[57:27 - 57:29] 那还有双向还有双向少女。

[57:29 - 57:33] 是那个什么，我先我先跑路了啊，我先跑路了，我还有点事情。

[57:33 - 57:44] 这就跑路了，我操，我们都还没听到那个呢，那那。那美股这边你你的意思就是还是觉得就是哦你也转消费了，对吧？对我刚才听了对那个呃。

[57:44 - 57:49] 我我我减了不少，我现在就是百分之六十现金吧。

[57:50 - 57:51] 哦，你你哦。

[57:51 - 57:56] 你你那也就意味着你的科技仓位在二十以下了呗。

[57:56 - 58:03] 对对对，然后我我买了一些老登股，就。我跟老蒋的这个意见一样，我买了一些美股老登。

[58:03 - 58:07] 我操美股老登，我操高低切了，美股老登。

[58:07 - 58:09] 不是，你买的什么什么老登呢？

[58:09 - 58:13] 你买消费老登，呃，就金金融的吧，金融消费之类的。

[58:13 - 58:17] 啊，金融和消费老登，我其实也买了一些 a 股的金融老登。

[58:19 - 58:28] 嗯。我觉得但是我我是亏的啊，就不要学我啊，我是亏我是我有金融老登，我是我是赚的，但是我我加了拼多多啊。

[58:28 - 58:34] 夜市小美女，我没给老蒋说过这个这个这个夜市小美女今天涨停了。

[58:35 - 58:38] 夜市小美女何以谓如何理解。

[58:38 - 59:01] 物理AI呀？什么？物理，就之前涨过一波，但是中间的时候被资资本抛弃过一段时间，只能去夜市摆摊，然后在那儿就是一些小资金在里面玩，散户在里面顶着的。然后在那通过摆摊呢，勉强糊口。但是现在突然一下就是人又火了，就摆摊的时候人口又突然人又。在摆摊的时候又摆火了。

[59:02 - 59:10] 啊，那为什么没有没有我们的死女人，就是叉叉叉叉叉 JC。

[59:11 - 59:14] 不是，那那聪宝，那你的意思是。

[59:14 - 59:15] 死女人为什么没有？

[59:15 - 59:24] 聪宝走了吗？聪宝，那你还是觉得觉得科技的故事就是要继续讲下去，还是说你觉得科技故事目前讲到这个位置，还是有点讲不动了？

[59:25 - 59:50] 我感觉讲不动啊，就是这个太夸张了，就是呃你看都多少倍了，很多就不光是你啊，就就就是那个不光是存储啊，就是什么光模块什么之类的，很多东西全都全都是全都涨了好几倍啊，然后我我觉得就是。没什么理由能一直涨吧，就是你再再怎么样，也没什么理由能一直涨。我觉得是要回调回调，很很正常。

[59:51 - 59:54] 啊，可能要震荡一段。最近其实纳指就在震荡。

[59:55 - 01:00:27] 对啊，纳指在震荡，纳指是真的在震荡，就是涨了然后跌，就是而且那个的。宽幅的，说实话，宽幅震荡，这不是他妈我，我操，美股活成了我们的模样，我们他妈长成了美股的样子。对，不是，就是相相爱相杀的人会互成互相长成对方的样子啊，现在 a 股跟美股它真的是这种，就是在这种不断的这种摩擦跟相处当中，已经活成对方的样子了，我天！他们在，他们已经活成我们前段时间的宽幅震荡了，我们现在活成他们的指数连阳了。

[01:00:28 - 01:00:30] 疯牛疯牛疯牛疯牛局长。

[01:00:30 - 01:00:39] 我操！我操，还真是，我操。夜市小美女不是因为科啊。

[01:00:42 - 01:00:42] 你那个没有。

[01:00:43 - 01:01:09] 这个我没跟你这个我没跟你说过这个票，这个票我没跟你说过，我有点，因为我也把不准，所以我当时进去的时候，因为当时的时候，无论是就是物理啊，有很多票都是他很奇怪，他就是走的很宽幅的震荡，我操，波动很大，那么今天。妈的跌停，明天又涨停，后天又他妈跌8个点，今天又涨4个点，5个点，就是很波动很大，所以这个票我没跟你说过，但是我其实还是。

[01:01:09 - 01:01:11] 你怕把你怕把我把我给坑了是吧？

[01:01:11 - 01:01:16] 对，我是怕真的不行了，因为死女人把我们哈哈哈。

[01:01:16 - 01:01:18] 死女人实在太夸张了。

[01:01:18 - 01:01:19] 太吓人了。

[01:01:19 - 01:01:22] 哈哈哈哈。死死你人。

[01:01:22 - 01:01:25] 我们都已经跑了。嗯，行。

[01:01:25 - 01:01:27] 这壮壮士断腕真的是。

[01:01:27 - 01:01:32] 对，我们在有一只聪宝不知道我们在有一只票，他妈亏麻了，都。

[01:01:33 - 01:01:41] 聪宝，我不一共现在-30吗？啊，在有一只饭总强力推荐我们互相打气的票上，我直接亏了10。

[01:01:42 - 01:01:45] 你们你们下次给我代代码，我给你们量化看一下。

[01:01:45 - 01:01:49] 好的好的好的，我操，你不早点说呀，我去。

[01:01:50 - 01:01:56] 我我那个对A股的适应很一般，就是数据，因为我美股的数据更多。

[01:01:56 - 01:02:05] 然后那也比我们抱团取暖强，我们就对我们现。现在已经都啊没有没有任何的这个技术指标逻辑了，现在纯粹是相互打气噻。

[01:02:05 - 01:02:10] 呃，行，反正你们你们有什么要问的可以给我，我可以给你们建议啊。

[01:02:10 - 01:02:17]  ok 那那那你可准备好了，我们将高频提问。哈哈哈，没事，就他那他那个大姐之恐怖，天天给代码。哈哈哈。

[01:02:17 - 01:02:18] 可以的。

[01:02:18 - 01:02:24] 没问题没问题。大姐厉害就厉害在给代码没输过，我操，她的代码几乎都赢的，这是她胜率太吓人了。

[01:02:24 - 01:02:28] 而且批发代码，对，光光的，哈哈哈哈。

[01:02:28 - 01:02:29] 我我。

[01:02:29 - 01:02:44] 我我这边其实也还行，就是很少很少，就是适应适应这对，适应这个市场。去年我好像就就就有一个 Paypal 吧，去年就 PYPL 让我亏了一块钱，每股好像，亏了一块钱。

[01:02:44 - 01:02:48] 哎，那你这个左侧买消费不会先忍受一点亏损吗？

[01:02:49 - 01:02:51] 左侧买消费现在是亏的呀，肯定要忍受。

[01:02:51 - 01:02:53] 不是，你现在左侧买消费肯定要忍受亏损啊。

